25110001,328,4,2025/12/19 16:04,0,25882,10092.943092719534,0.3899599371269428,7339.673977954585,5572,20310,334,90,11607,3810,1284,229,11,0,45,37,7,5753,1185,1,1,1,4,4317,1,2,0,0,0,8,1,8,8,13327,5753,1185
25110001,333,4,2025/12/19 16:03,0,48267,8291.770775116738,0.17178964458360244,2572.52918156702,9539,38728,2088,1592,32028,8265,734,261,12,1,29,40,9,9361,724,3,2,2,2,9205,0,0,15,2,0,9,3,9,5,28433,9361,724
25110001,344,4,2025/12/19 16:02,0,21662,6067.780258571338,0.28011172830631237,1618.8747594056556,7319,14343,251,110,8681,4316,862,476,7,0,17,17,6,1782,1254,1,1,1,3,5838,0,0,11,1,0,6,1,6,6,7631,1782,1254
25110001,386,3,2025/12/19 15:59,0,45931,10598.608965559664,0.2307506687326569,3961.0500994559325,3289,42642,1250,154,26911,4705,1999,278,19,0,43,57,8,9546,992,2,2,1,3,3847,3,1,32,2,1,11,2,11,10,37377,9546,992
25110001,388,3,2025/12/19 15:58,0,38932,7820.6111344306555,0.2008787407384839,2425.7972093632425,6724,32208,578,103,23532,11975,846,342,10,0,26,29,9,12821,1250,1,1,1,6,3240,0,0,11,1,0,9,1,9,9,27138,12821,1250
25110001,391,4,2025/12/19 15:58,0,30107,7545.493105546764,0.250622549757424,2183.3962145965197,5168,24939,971,276,18761,11187,752,285,10,0,26,32,8,11939,968,1,1,1,5,1687,0,0,0,0,0,8,1,8,8,22433,11939,968
25110001,394,3,2025/12/19 15:57,0,49066,7987.004283966935,0.1627808316138861,2240.761369512092,13952,35114,3119,1834,24415,6214,1335,494,10,0,32,24,8,6341,1068,1,1,1,5,10242,0,1,13,1,0,8,1,8,8,21669,6341,1068
25110001,399,4,2025/12/19 15:56,0,31320,10575.992114457404,0.3376753548677332,4883.683483491999,4389,26931,815,126,14376,2401,3456,446,13,0,40,29,12,5857,968,1,1,1,9,2450,0,0,0,0,0,12,1,12,12,23720,5857,968
25110002,4,4,2025/12/22 13:41,0,82737,12579.614883808952,0.15204340118458431,6726.970677343859,11377,71360,4991,3083,48427,10846,3484,370,15,0,53,41,7,17395,1299,1,2,1,3,11821,3,0,24,1,2,11,1,11,11,52089,17395,1299
25110002,13,3,2025/12/22 13:44,0,83280,13067.665176022738,0.15691240605214624,5787.412570464681,4856,78424,2287,800,66207,17493,1439,468,13,1,53,49,8,16686,1850,1,2,1,4,28782,3,0,19,1,1,10,2,10,9,47014,16686,1850
25110002,19,3,2025/12/22 13:48,0,52924,10246.033834108592,0.19359900676646874,6032.696291778602,3490,49434,765,177,37496,19533,1649,345,10,0,48,30,6,20558,1964,0,1,1,4,8475,3,0,14,1,0,10,1,10,10,38895,20558,1964
25110002,21,4,2025/12/22 13:48,0,19667,5086.536384410382,0.2586330596639234,1514.5343523940378,3493,16174,540,145,6694,1304,1737,525,8,0,23,17,5,2742,1353,1,1,1,2,2246,2,0,0,0,0,6,1,6,6,8784,2742,1353
25110002,26,3,2025/12/22 13:46,0,63771,12521.654768030654,0.19635343287749374,4146.631576307511,3924,59847,1181,335,21433,5948,16756,565,12,0,45,38,10,19369,1676,1,1,1,7,3780,0,0,21,1,0,11,1,11,11,52352,19369,1676
25110002,30,4,2025/12/22 13:46,0,30829,7514.695304547226,0.24375410504872771,2365.116898583366,2522,28307,750,171,14623,3141,2926,655,10,0,27,25,7,4507,2060,1,1,1,4,5619,2,0,0,0,0,8,1,8,8,17810,4507,2060
25110002,34,2,2025/12/22 13:49,0,219306,29373.80043476289,0.13393979387140748,6956.864185803314,6945,212361,6659,2712,161156,40758,8771,579,28,8,98,79,20,60213,2332,5,2,2,11,3682,4,1,89,3,3,27,6,27,10,207154,60213,2332
25110002,36,3,2025/12/22 13:53,0,59142,9609.605707582024,0.16248361076023848,3068.0504757511335,4389,54753,1747,823,39008,15380,4153,358,13,2,44,43,7,10339,935,0,1,3,3,32835,5,0,8,1,0,10,2,10,7,20766,10339,935
25110002,44,2,2025/12/22 13:43,0,94953,17175.240825282326,0.18088149742801518,7369.552896372904,11090,83863,1644,475,55215,8950,7165,646,14,1,43,46,9,17553,4333,2,1,1,5,2808,1,0,18,1,0,12,2,12,11,79579,17553,4333
